Measure Mode: allocations
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 3216.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06      2.000     2.000     0.000     0.000        1   Rack::ConditionalGet#fresh?
  0.06   2243.000     2.000     0.000  2241.000        1   AbstractController::Callbacks#process_action
  0.06      2.000     2.000     0.000     0.000        4   Array#extract_options!
  0.06     15.000     2.000     0.000    13.000        1   ActionController::LogSubscriber#start_processing
  0.06   2826.000     2.000     0.000  2824.000        1   Rack::Sendfile#call
  0.06      6.000     2.000     0.000     4.000        2   ActionDispatch::Http::Parameters#normalize_encode_params
  0.06      2.000     2.000     0.000     0.000        2   Array#reverse
  0.06      2.000     2.000     0.000     0.000        2   ActionDispatch::Request#accept
  0.06     27.000     2.000     0.000    25.000        1   ActionDispatch::Request#GET
  0.06    554.000     2.000     0.000   552.000        1   Sprockets::Rails::Helper#stylesheet_link_tag
  0.06      2.000     2.000     0.000     0.000        1   <Module::Marshal>#dump
  0.06     58.000     2.000     0.000    56.000       10   Hash#each_pair
  0.06     13.000     2.000     0.000    11.000        1   ActiveRecord::TestFixtures#setup_fixtures
  0.06      7.000     2.000     0.000     5.000        1   ActiveSupport::MessageVerifier#generate
  0.06      2.000     2.000     0.000     0.000        1   ActionDispatch::Http::URL#raw_host_with_port
  0.06      2.000     2.000     0.000     0.000        2   ActionDispatch::Request#xml_http_request?
  0.06      3.000     2.000     0.000     1.000        1   Base64#strict_encode64
  0.06      2.000     2.000     0.000     0.000        2   Hash#regular_writer
  0.06      4.000     2.000     0.000     2.000        2   Float#to_s
  0.06      2.000     2.000     0.000     0.000        2   <Class::Regexp>#escape
  0.06      2.000     2.000     0.000     0.000        2   Float#to_default_s
  0.06      6.000     2.000     0.000     4.000        2   Sprockets::Rails::Helper#request_debug_assets?
  0.03     10.000     1.000     0.000     9.000        1   ActionDispatch::Http::ParameterFilter::CompiledFilter#call
  0.03      3.000     1.000     0.000     2.000        1   <Class::ActionDispatch::Cookies::CookieJar>#options_for_env
  0.03      5.000     1.000     0.000     4.000        1   ActionDispatch::Http::URL#host
  0.03      1.000     1.000     0.000     0.000        1   Rack::Utils::KeySpaceConstrainedParams#[]=
  0.03      3.000     1.000     0.000     2.000        1   ActionDispatch::Cookies::SignedCookieJar#initialize
  0.03      3.000     1.000     0.000     2.000        1   Hash#except
  0.03   2244.000     1.000     0.000  2243.000        1   ActionController::Rescue#process_action
  0.03      1.000     1.000     0.000     0.000        1   ActionDispatch::Cookies::SerializedCookieJars#digest
  0.03   2231.000     1.000     0.000  2230.000        1   ActionController::Rendering#process_action
  0.03      1.000     1.000     0.000     0.000        1   StringIO#read
  0.03   2225.000     1.000     0.000  2224.000        1   AbstractController::Base#process_action
  0.03   2224.000     1.000     0.000  2223.000        1   ActionController::ImplicitRender#send_action
  0.03   2223.000     1.000     0.000  2222.000        1   ActionController::ImplicitRender#default_render
  0.03   2216.000     1.000     0.000  2215.000        1   Benchmark#realtime
  0.03   2213.000     1.000     0.000  2212.000        1   ActionController::Rendering#render
  0.03     18.000     1.000     0.000    17.000        1   ActiveSupport::MessageVerifier#verify
  0.03   2212.000     1.000     0.000  2211.000        1   AbstractController::Rendering#render
  0.03      2.000     1.000     0.000     1.000        1   <Class::Rack::Multipart::Parser>#create
  0.03      1.000     1.000     0.000     0.000        1   Rack::Request#user_agent
  0.03      1.000     1.000     0.000     0.000        1   Rack::Request#session
  0.03      5.000     1.000     0.000     4.000        1   ActiveSupport::SecurityUtils#secure_compare
  0.03      2.000     1.000     0.000     1.000        1   ActionDispatch::Http::FilterParameters#parameter_filter
  0.03      3.000     1.000     0.000     2.000        1   Base64#strict_decode64
  0.03     10.000     1.000     0.000     9.000        1   ActionController::ParamsWrapper#_wrapper_enabled?
  0.03   2456.000     1.000     0.000  2455.000        1   ActionController::ParamsWrapper#process_action
  0.03   2458.000     1.000     0.000  2457.000        1   ActiveRecord::Railties::ControllerRuntime#process_action
  0.03   2459.000     1.000     0.000  2458.000        1   AbstractController::Base#process
  0.03      1.000     1.000     0.000     0.000        1   #<Module:0x006150c8703850>#protect_against_forgery?
  0.03      2.000     1.000     0.000     1.000        1   ActionView::Helpers::CsrfHelper#csrf_meta_tags
  0.03    399.000     1.000     0.000   398.000        1   ActionView::Helpers::AssetUrlHelper#javascript_path
  0.03      1.000     1.000     0.000     0.000        1   ActionView::I18nProxy#initialize
  0.03      1.000     1.000     0.000     0.000        1   ActionView::LookupContext::Accessors#default_variants
  0.03      1.000     1.000     0.000     0.000        1   Array#uniq!
  0.03      1.000     1.000     0.000     0.000        1   ActionDispatch::Session::CookieStore#persistent_session_id!
  0.03      2.000     1.000     0.000     1.000        1   ActionView::LookupContext::Accessors#default_locale
  0.03      6.000     1.000     0.000     5.000        1   ActionDispatch::Request::Session#stringify_keys
  0.03      7.000     1.000     0.000     6.000        1   ActionView::LookupContext#initialize
  0.03      1.000     1.000     0.000     0.000        1   ActionView::ViewPaths#details_for_lookup
  0.03      1.000     1.000     0.000     0.000        1   Analytical::CommandStore#initialize
  0.03    192.000     1.000     0.000   191.000        1   Analytical::Api#method_missing
  0.03      3.000     1.000     0.000     2.000        1   ActionView::Layouts#initialize
  0.03     13.000     1.000     0.000    12.000        1   ActionDispatch::Routing::RouteSet::Dispatcher#controller_reference
  0.03      1.000     1.000     0.000     0.000        1   ActionDispatch::Http::Parameters#path_parameters=
  0.03      1.000     1.000     0.000     0.000        4   ActionDispatch::Http::Parameters#path_parameters
  0.03    218.000     1.000     0.000   217.000        1   ActionController::Rendering#render_to_string
  0.03    217.000     1.000     0.000   216.000        1   AbstractController::Rendering#render_to_string
  0.03      1.000     1.000     0.000     0.000        1   Array#zip
  0.03      1.000     1.000     0.000     0.000        1   Enumerator#each
